"Date","Price","Open","High","Low","Vol.","Change %"
"12/04/2025","11,884.19","11,884.19","11,884.19","11,884.19","","-0.24%"
"12/03/2025","11,912.38","11,880.93","11,951.19","11,853.73","","0.26%"
"12/02/2025","11,880.93","11,895.57","11,945.61","11,861.01","","-0.12%"
"12/01/2025","11,895.57","11,940.95","11,968.30","11,887.79","","-0.41%"
"11/28/2025","11,945.00","11,881.60","11,948.88","11,864.70","","0.53%"
"11/27/2025","11,881.60","11,881.60","11,936.89","11,854.40","","0.00%"
"11/26/2025","11,881.60","11,936.89","12,015.00","11,875.80","","-0.46%"
"11/25/2025","11,936.89","11,989.32","12,022.16","11,935.13","","-0.61%"
"11/24/2025","12,009.60","11,914.67","12,022.76","11,914.67","","0.80%"
"11/21/2025","11,914.67","11,914.67","11,971.40","11,887.39","","0.00%"
"11/20/2025","11,914.67","11,910.93","11,955.20","11,883.66","","0.03%"
"11/19/2025","11,910.93","11,940.70","12,009.92","11,898.47","","-0.24%"
"11/18/2025","11,940.00","12,009.92","12,052.37","11,922.85","","-0.58%"
"11/17/2025","12,009.92","12,039.61","12,067.21","11,997.17","","-0.25%"
"11/14/2025","12,039.61","11,987.15","12,067.21","11,951.30","","0.45%"
"11/13/2025","11,985.10","11,973.35","12,015.05","11,969.18","","-0.17%"
"11/12/2025","12,005.00","11,990.00","12,017.50","11,945.42","","0.13%"
"11/11/2025","11,990.00","12,019.55","12,042.48","11,962.53","","-0.21%"
"11/10/2025","12,014.94","12,060.27","12,087.92","11,987.41","","-0.38%"
"11/07/2025","12,060.27","11,987.50","12,087.92","11,987.50","","0.31%"
"11/06/2025","12,022.92","11,970.67","12,024.22","11,943.25","","0.44%"
"11/05/2025","11,970.67","11,950.63","11,998.10","11,933.22","","0.17%"
"11/04/2025","11,950.63","11,972.34","11,999.77","11,923.26","","-0.33%"
"11/03/2025","11,990.00","12,005.09","12,035.06","11,944.91","","-0.13%"
"10/31/2025","12,005.09","12,025.22","12,052.79","11,970.34","","-0.17%"
"10/30/2025","12,025.22","11,990.53","12,037.61","11,963.06","","0.29%"
"10/29/2025","11,990.53","12,004.47","12,083.13","11,963.06","","-0.12%"
"10/28/2025","12,004.47","12,053.46","12,081.10","12,001.33","","-0.41%"
"10/27/2025","12,053.46","12,117.35","12,145.15","12,041.73","","-0.53%"
"10/24/2025","12,117.35","12,129.33","12,157.16","12,089.56","","-0.15%"
"10/23/2025","12,135.00","12,101.29","12,157.16","12,056.86","","0.28%"
"10/22/2025","12,101.29","12,011.02","12,129.65","11,983.49","","0.75%"
"10/21/2025","12,011.02","12,060.15","12,087.80","11,983.49","","-0.41%"
"10/20/2025","12,060.15","12,108.24","12,136.01","12,032.50","","-0.40%"
"10/17/2025","12,108.24","12,160.99","12,190.90","12,080.47","","-0.63%"
